smiles,pIC50
C#CCCC1(CCN2CCCc3ccc(NS(=O)(=O)c4ccc(-c5ccccc5)cc4)cc32)N=N1,5.32
C#CCNS(=O)(=O)c1ccc(CCN(CCc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1,6.23
C/C(=N\NS(=O)(=O)c1ccc(C)cc1)c1nc2ccccc2o1,4.86
C/C1=C\CC[C@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN(C)CCCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)[C@@H]2CC1,5.66
C/C1=C\CC[C@]2(C)O[C@@H]2[C@H]2OC(=O)[C@@H](CN(C)CCOc3no[n+]([O-])c3S(=O)(=O)c3ccccc3)[C@@H]2CC1,6.0
C=C(Cc1ccccc1Cl)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,4.13
C=C1C(=O)C[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,5.59
C=C1C(=O)O[C@@H]2C[C@@]3(C)CCCC(=C)[C@@H]3C[C@H]12,5.18
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](NC(=O)/C=C/C(=O)OCC)C(=C)[C@@H]3C[C@H]12,5.81
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](NC(=O)/C=C/C(=O)c4ccc(F)cc4)C(=C)[C@@H]3C[C@H]12,5.87
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](NC(=O)/C=C/C(=O)c4ccccc4)C(=C)[C@@H]3C[C@H]12,5.85
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](NC(=O)c4ccc(C(F)(F)F)cc4)C(=C)[C@@H]3C[C@H]12,5.58
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)OCC)C(=C)[C@@H]3C[C@H]12,5.95
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccc(C(F)(F)F)cc4)C(=C)[C@@H]3C[C@H]12,6.0
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccc(C)cc4)C(=C)[C@@H]3C[C@H]12,5.89
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccc(F)cc4)C(=C)[C@@H]3C[C@H]12,6.04
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccc(OC)cc4)C(=C)[C@@H]3C[C@H]12,5.91
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/C(=O)c4ccccc4)C(=C)[C@@H]3C[C@H]12,6.08
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)/C=C/c4ccccc4)C(=C)[C@@H]3C[C@H]12,5.91
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)C(CC)CC)C(=C)[C@@H]3C[C@H]12,5.6
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)C4CC4)C(=C)[C@@H]3C[C@H]12,5.51
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)CCC)C(=C)[C@@H]3C[C@H]12,5.52
C=C1C(=O)O[C@@H]2C[C@@]3(C)CC[C@@H](OC(=O)CCCCC)C(=C)[C@@H]3C[C@H]12,5.7
